"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Errfi1",1788.72757157263,0.557545939087736,0.0663820973116098,3.25680114030047e-18,1.25014638056962e-15
"Aspa",529.972350919606,-0.648572941327506,0.0774456482684421,3.62169328622297e-18,1.36240858041136e-15
"Ndrg2",36689.7944659669,0.324304718352954,0.0385013980698016,4.40353721812504e-18,1.62404179481792e-15
"Rnd2",2550.64558481281,0.4454617183329,0.053865395922512,1.17445698580947e-17,4.24814643194046e-15
"Npas2",215.491390884803,1.0064479800782,0.123471515221274,2.01161530205045e-17,7.0067541141235e-15
"Ttyh1",15772.8064352536,0.4949970801993,0.0604005629630366,1.99344155759745e-17,7.0067541141235e-15
"Cp",1280.18815277231,0.775277845979104,0.0951510539274816,2.1946060421802e-17,7.50515364497588e-15
"Hopx",3298.13483270909,-0.763110168451113,0.0948006884093948,4.82496838249871e-17,1.62058625547176e-14
"Cd74",142.476742442174,-1.14065560296398,0.142021568331555,4.98608855751202e-17,1.64532174874111e-14
"Lfng",683.955246994986,0.770931850433022,0.0960965829012151,6.17173364009334e-17,2.00145065580199e-14
"Arhgap27",903.157972189735,0.808180117599686,0.100914135099479,6.80727432259223e-17,2.17013597853623e-14
"Eif4a1",7603.42170578099,0.342066895791134,0.0424600911843057,9.47089482558993e-17,2.96896767957535e-14
"Prokr2",38.0918526239133,2.3980376973655,0.30077632389406,9.92161154408109e-17,3.05927199233805e-14
"Adipor2",3923.25380935736,0.898760256694619,0.113141363565622,1.09885136843541e-16,3.28068180776216e-14
"Glul",36733.3731577292,0.789553054153529,0.0991026721866941,1.0816717139026e-16,3.28068180776216e-14
"Sulf1",1609.11828497322,-0.52568773256236,0.0661497628531046,1.41559603248076e-16,4.16030402733292e-14
"Gja1",6739.64395482203,-0.443404827572777,0.0562040374712713,2.63290492233246e-16,7.61881672063865e-14
"Prodh",1313.66819384115,0.742395981138464,0.0950567797866784,3.31267968987794e-16,9.44063519498699e-14
"Nipa1",911.91534741801,-0.452456235221702,0.0576303788509757,3.43301841060467e-16,9.63755869926318e-14
"Padi2",638.885851459968,-0.950055473129579,0.122057500422769,3.76207459417705e-16,1.04060089767465e-13
"Col2a1",149.396386417528,-1.32673563775748,0.172710106634488,7.77870066626549e-16,2.12042870770707e-13
"Il33",805.439459154588,-0.858802216714776,0.112361585680487,1.16266675088503e-15,3.12408555962807e-13
"Cpe",30035.7741029461,0.369393593201642,0.0486385414759292,1.52773259894371e-15,3.99098922965726e-13
